CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
dcd773919aad   vsp-cutlery-3        0.00%     1.641MiB / 30.51GiB   0.01%     145kB / 127kB     0B / 0B     14
5d97e9f5d559   vsp-cutlery-25       0.00%     1.652MiB / 30.51GiB   0.01%     143kB / 126kB     0B / 0B     14
715bbe702998   vsp-cutlery-19       0.00%     1.613MiB / 30.51GiB   0.01%     143kB / 125kB     0B / 0B     14
faff8eb1e008   vsp-philosopher-19   0.00%     1.824MiB / 30.51GiB   0.01%     206kB / 188kB     0B / 0B     14
e7eff7b9b59c   vsp-philosopher-49   0.00%     1.754MiB / 30.51GiB   0.01%     256kB / 241kB     0B / 0B     14
a18fd94c0da4   vsp-cutlery-24       0.00%     1.613MiB / 30.51GiB   0.01%     143kB / 125kB     0B / 0B     14
19b0c55aac5f   vsp-cutlery-29       0.00%     1.59MiB / 30.51GiB    0.01%     143kB / 125kB     0B / 0B     14
5391124a7421   vsp-cutlery-15       0.00%     1.629MiB / 30.51GiB   0.01%     143kB / 125kB     0B / 0B     14
0d9b82aa3634   vsp-philosopher-10   0.00%     1.793MiB / 30.51GiB   0.01%     200kB / 183kB     0B / 0B     14
e844d2b4d29b   vsp-philosopher-17   0.00%     1.73MiB / 30.51GiB    0.01%     254kB / 238kB     0B / 0B     14
e8e2bb5cef42   vsp-philosopher-25   0.00%     1.664MiB / 30.51GiB   0.01%     199kB / 184kB     0B / 0B     14
558e64c2914f   vsp-cutlery-17       0.00%     1.586MiB / 30.51GiB   0.01%     143kB / 125kB     0B / 0B     14
b76911eddbcf   vsp-philosopher-36   0.00%     1.637MiB / 30.51GiB   0.01%     254kB / 238kB     0B / 0B     14
2322b9644313   vsp-cutlery-45       0.00%     1.598MiB / 30.51GiB   0.01%     142kB / 125kB     0B / 0B     14
31aae80e4804   vsp-philosopher-34   0.00%     1.719MiB / 30.51GiB   0.01%     199kB / 184kB     0B / 0B     14
7a40fec52360   vsp-philosopher-44   0.00%     1.668MiB / 30.51GiB   0.01%     253kB / 238kB     0B / 0B     14
a4a6cea03b6d   vsp-cutlery-48       0.00%     1.66MiB / 30.51GiB    0.01%     142kB / 125kB     0B / 0B     14
789d88ae708d   vsp-philosopher-14   0.00%     1.715MiB / 30.51GiB   0.01%     198kB / 183kB     0B / 0B     14
24de8e5bc53b   vsp-philosopher-11   0.00%     1.652MiB / 30.51GiB   0.01%     252kB / 238kB     0B / 0B     14
390e7c507058   vsp-philosopher-18   0.00%     1.707MiB / 30.51GiB   0.01%     197kB / 183kB     0B / 0B     14
463722357f9e   vsp-cutlery-18       0.00%     1.684MiB / 30.51GiB   0.01%     141kB / 125kB     0B / 0B     14
3e05487d4e9f   vsp-cutlery-1        0.00%     1.621MiB / 30.51GiB   0.01%     140kB / 126kB     0B / 0B     14
120a039577b8   vsp-philosopher-24   0.00%     1.652MiB / 30.51GiB   0.01%     251kB / 238kB     0B / 0B     14
4b135e3ee0a7   vsp-cutlery-42       0.00%     1.594MiB / 30.51GiB   0.01%     140kB / 126kB     0B / 0B     14
270748c1140e   vsp-philosopher-22   0.00%     1.719MiB / 30.51GiB   0.01%     196kB / 184kB     0B / 0B     14
ba700e608d45   vsp-cutlery-43       0.00%     1.645MiB / 30.51GiB   0.01%     140kB / 125kB     0B / 0B     14
63c1c0881d93   vsp-philosopher-13   0.00%     1.723MiB / 30.51GiB   0.01%     251kB / 238kB     0B / 0B     14
1707c6d41c61   vsp-cutlery-31       0.00%     1.633MiB / 30.51GiB   0.01%     140kB / 125kB     0B / 0B     14
22672d8953ef   vsp-philosopher-6    0.00%     1.734MiB / 30.51GiB   0.01%     190kB / 178kB     0B / 0B     14
46a2c06424c7   vsp-cutlery-35       0.00%     1.586MiB / 30.51GiB   0.01%     136kB / 121kB     0B / 0B     14
59f4da555b72   vsp-cutlery-10       0.00%     1.582MiB / 30.51GiB   0.01%     141kB / 127kB     0B / 0B     14
30771a69ea00   vsp-philosopher-3    0.00%     1.664MiB / 30.51GiB   0.01%     249kB / 236kB     0B / 0B     14
af3dff308c1a   vsp-philosopher-39   0.00%     1.66MiB / 30.51GiB    0.01%     195kB / 182kB     0B / 0B     14
5baaf896a860   vsp-philosopher-42   0.00%     1.723MiB / 30.51GiB   0.01%     251kB / 240kB     0B / 0B     14
35232bb2da15   vsp-cutlery-21       0.00%     1.68MiB / 30.51GiB    0.01%     138kB / 124kB     0B / 0B     14
53ccb453d6cc   vsp-philosopher-43   0.00%     1.723MiB / 30.51GiB   0.01%     197kB / 185kB     0B / 0B     14
d81f03714e05   vsp-cutlery-23       0.00%     1.621MiB / 30.51GiB   0.01%     140kB / 127kB     0B / 0B     14
ef854a97b557   vsp-philosopher-35   0.00%     1.715MiB / 30.51GiB   0.01%     249kB / 238kB     0B / 0B     14
95666a824390   vsp-philosopher-41   0.00%     1.797MiB / 30.51GiB   0.01%     195kB / 184kB     0B / 0B     14
586243a398b8   vsp-philosopher-9    0.00%     1.738MiB / 30.51GiB   0.01%     249kB / 238kB     0B / 0B     14
351e197a35be   vsp-cutlery-13       0.00%     1.613MiB / 30.51GiB   0.01%     139kB / 126kB     0B / 0B     14
9427ce78360c   vsp-cutlery-9        0.00%     1.621MiB / 30.51GiB   0.01%     139kB / 125kB     0B / 0B     14
a1deedb95737   vsp-philosopher-29   0.00%     1.809MiB / 30.51GiB   0.01%     195kB / 184kB     0B / 0B     14
ef113f157405   vsp-cutlery-44       0.00%     1.625MiB / 30.51GiB   0.01%     139kB / 125kB     0B / 0B     14
c3e86bdc7d89   vsp-cutlery-33       0.00%     1.602MiB / 30.51GiB   0.01%     139kB / 125kB     0B / 0B     14
dbda9aa6b30d   vsp-philosopher-16   0.00%     1.73MiB / 30.51GiB    0.01%     249kB / 238kB     0B / 0B     14
9af49da5b4df   vsp-cutlery-26       0.00%     1.613MiB / 30.51GiB   0.01%     139kB / 125kB     0B / 0B     14
192a1db9e6b1   vsp-philosopher-1    0.00%     1.707MiB / 30.51GiB   0.01%     189kB / 178kB     0B / 0B     14
425563a89ab2   vsp-cutlery-46       0.00%     1.629MiB / 30.51GiB   0.01%     138kB / 126kB     0B / 0B     14
c339ed5ef286   vsp-cutlery-37       0.00%     1.578MiB / 30.51GiB   0.01%     136kB / 123kB     0B / 0B     14
21c022451e90   vsp-cutlery-47       0.00%     1.613MiB / 30.51GiB   0.01%     137kB / 124kB     0B / 0B     14
17574405247e   vsp-philosopher-46   0.00%     1.805MiB / 30.51GiB   0.01%     246kB / 233kB     0B / 0B     14
19eab41275dc   vsp-philosopher-32   0.00%     1.723MiB / 30.51GiB   0.01%     193kB / 182kB     0B / 0B     14
a1e3d1a4b65a   vsp-cutlery-36       0.00%     1.578MiB / 30.51GiB   0.01%     140kB / 127kB     0B / 0B     14
84b2225324bf   vsp-cutlery-34       0.00%     1.582MiB / 30.51GiB   0.01%     136kB / 124kB     0B / 0B     14
5d1e88c67a4a   vsp-cutlery-50       0.00%     1.672MiB / 30.51GiB   0.01%     136kB / 124kB     0B / 0B     14
a8a348e46afb   vsp-cutlery-16       0.00%     1.625MiB / 30.51GiB   0.01%     139kB / 127kB     0B / 0B     14
7d764f9bea96   vsp-philosopher-40   0.00%     1.789MiB / 30.51GiB   0.01%     250kB / 239kB     0B / 0B     14
